          Category;  Run Identifier;  Power (Watt)
      native-image;        pgo_g1gc;        57.270
      native-image;        pgo_g1gc;        54.160
      native-image;        pgo_g1gc;        53.020
      native-image;        pgo_g1gc;        52.430
      native-image;        pgo_g1gc;        53.340
      native-image;        pgo_g1gc;        54.420
      native-image;        pgo_g1gc;        58.800
      native-image;        pgo_g1gc;        59.750
      native-image;        pgo_g1gc;        42.650
      native-image;        pgo_g1gc;        34.480
      native-image;        pgo_g1gc;        40.280
      native-image;        pgo_g1gc;        32.700
      native-image;        pgo_g1gc;        55.250
      native-image;        pgo_g1gc;        30.670
      native-image;        pgo_g1gc;        42.020
      native-image;        pgo_g1gc;        59.800
      native-image;        pgo_g1gc;        57.790
      native-image;        pgo_g1gc;        35.620
      native-image;        pgo_g1gc;        34.440
      native-image;        pgo_g1gc;        34.710
      native-image;        pgo_g1gc;        31.320
      native-image;        pgo_g1gc;        40.710
      native-image;        pgo_g1gc;        43.280
      native-image;        pgo_g1gc;        63.750
      native-image;        pgo_g1gc;        57.560
      native-image;        pgo_g1gc;        53.130
      native-image;        pgo_g1gc;        51.370
      native-image;        pgo_g1gc;        40.880
      native-image;        pgo_g1gc;        35.550
      native-image;        pgo_g1gc;        64.550
      native-image;        pgo_g1gc;        65.290
      native-image;        pgo_g1gc;        67.070
      native-image;        pgo_g1gc;        70.160
      native-image;        pgo_g1gc;        67.240
      native-image;        pgo_g1gc;        68.160
      native-image;        pgo_g1gc;        71.090
      native-image;        pgo_g1gc;        34.090
      native-image;        pgo_g1gc;        76.830
      native-image;        pgo_g1gc;        67.100
      native-image;        pgo_g1gc;        55.930
      native-image;        pgo_g1gc;        44.900
      native-image;        pgo_g1gc;        43.840
      native-image;        pgo_g1gc;        46.740
      native-image;        pgo_g1gc;        35.990
      native-image;        pgo_g1gc;        35.180
      native-image;        pgo_g1gc;        37.790
      native-image;        pgo_g1gc;        46.360
      native-image;        pgo_g1gc;        60.170
      native-image;        pgo_g1gc;        69.420
      native-image;        pgo_g1gc;        71.230
      native-image;        pgo_g1gc;        71.680
      native-image;        pgo_g1gc;        71.870
      native-image;        pgo_g1gc;        62.200
      native-image;        pgo_g1gc;        71.890
      native-image;        pgo_g1gc;        71.330
      native-image;        pgo_g1gc;        70.040
      native-image;        pgo_g1gc;        69.740
      native-image;        pgo_g1gc;        69.080
      native-image;        pgo_g1gc;        72.340
      native-image;        pgo_g1gc;        72.830
      native-image;        pgo_g1gc;        74.340
      native-image;        pgo_g1gc;        74.390
      native-image;        pgo_g1gc;        74.370
      native-image;        pgo_g1gc;        74.030
      native-image;        pgo_g1gc;        75.600
      native-image;        pgo_g1gc;        75.700
      native-image;        pgo_g1gc;        75.210
      native-image;        pgo_g1gc;        75.560
      native-image;        pgo_g1gc;        74.730
      native-image;        pgo_g1gc;        75.540
      native-image;        pgo_g1gc;        76.390
      native-image;        pgo_g1gc;        75.800
      native-image;        pgo_g1gc;        77.070
      native-image;        pgo_g1gc;        76.820
      native-image;        pgo_g1gc;        77.460
      native-image;        pgo_g1gc;        76.910
      native-image;        pgo_g1gc;        78.800
      native-image;        pgo_g1gc;        78.860
      native-image;        pgo_g1gc;        77.280
      native-image;        pgo_g1gc;        78.460
      native-image;        pgo_g1gc;        78.660
      native-image;        pgo_g1gc;        78.160
      native-image;        pgo_g1gc;        78.730
      native-image;        pgo_g1gc;        73.840
      native-image;        pgo_g1gc;        71.140
      native-image;        pgo_g1gc;        72.780
      native-image;        pgo_g1gc;        69.990
      native-image;        pgo_g1gc;        65.130
      native-image;        pgo_g1gc;        67.980
      native-image;        pgo_g1gc;        78.150
      native-image;        pgo_g1gc;        80.280
      native-image;        pgo_g1gc;        79.510
      native-image;        pgo_g1gc;        79.720
      native-image;        pgo_g1gc;        80.090
      native-image;        pgo_g1gc;        78.540
      native-image;        pgo_g1gc;        79.780
      native-image;        pgo_g1gc;        80.160
      native-image;        pgo_g1gc;        80.030
      native-image;        pgo_g1gc;        59.660
      native-image;        pgo_g1gc;        81.280
      native-image;        pgo_g1gc;        39.950
      native-image;        pgo_g1gc;        33.480
      native-image;        pgo_g1gc;        31.230
      native-image;        pgo_g1gc;        28.440
      native-image;        pgo_g1gc;        27.580
      native-image;        pgo_g1gc;        27.810
      native-image;        pgo_g1gc;        28.160
      native-image;        pgo_g1gc;        34.700
      native-image;        pgo_g1gc;        31.330
      native-image;        pgo_g1gc;        29.560
      native-image;        pgo_g1gc;        27.540
      native-image;        pgo_g1gc;        29.160
      native-image;        pgo_g1gc;        29.830
      native-image;        pgo_g1gc;        29.500
      native-image;        pgo_g1gc;        29.880
      native-image;        pgo_g1gc;        29.600
      native-image;        pgo_g1gc;        27.960
      native-image;        pgo_g1gc;        28.200
      native-image;        pgo_g1gc;        29.690
      native-image;        pgo_g1gc;        28.870
      native-image;        pgo_g1gc;        29.940
      native-image;        pgo_g1gc;        28.770
      native-image;        pgo_g1gc;        27.830
      native-image;        pgo_g1gc;        27.990
      native-image;        pgo_g1gc;        29.320
      native-image;        pgo_g1gc;        31.030
      native-image;        pgo_g1gc;        33.160
        graalvm-ce;         default;        17.200
        graalvm-ce;         default;        16.030
        graalvm-ce;         default;        16.110
        graalvm-ce;         default;        44.910
        graalvm-ce;         default;        45.160
        graalvm-ce;         default;        45.260
        graalvm-ce;         default;        45.730
        graalvm-ce;         default;        47.370
        graalvm-ce;         default;        43.910
        graalvm-ce;         default;        44.290
        graalvm-ce;         default;        51.140
        graalvm-ce;         default;        51.670
        graalvm-ce;         default;        42.040
openjdk-hotspot-vm;         default;        16.750
openjdk-hotspot-vm;         default;        15.240
openjdk-hotspot-vm;         default;        17.120
openjdk-hotspot-vm;         default;        46.250
openjdk-hotspot-vm;         default;        49.640
openjdk-hotspot-vm;         default;        58.250
openjdk-hotspot-vm;         default;        50.710
openjdk-hotspot-vm;         default;        52.600
openjdk-hotspot-vm;         default;        53.460
openjdk-hotspot-vm;         default;        61.880
openjdk-hotspot-vm;         default;        49.680
openjdk-hotspot-vm;         default;        62.330
openjdk-hotspot-vm;         default;        56.990
openjdk-hotspot-vm;         default;        45.430
