          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
openjdk-hotspot-vm;                    linear;         default;                  1;        16.560;  Power (Watt)
openjdk-hotspot-vm;                    linear;         default;                  2;        15.120;  Power (Watt)
openjdk-hotspot-vm;                    linear;         default;                  3;        16.880;  Power (Watt)
openjdk-hotspot-vm;                    linear;         default;                  4;        89.200;  Power (Watt)
openjdk-hotspot-vm;                    linear;         default;                  5;       114.790;  Power (Watt)
        graalvm-ce;                    linear;         default;                  1;        15.160;  Power (Watt)
        graalvm-ce;                    linear;         default;                  2;        13.280;  Power (Watt)
        graalvm-ce;                    linear;         default;                  3;        15.660;  Power (Watt)
        graalvm-ce;                    linear;         default;                  4;       110.060;  Power (Watt)
openjdk-hotspot-vm;               random_heap;         default;                  1;        16.840;  Power (Watt)
openjdk-hotspot-vm;               random_heap;         default;                  2;        14.310;  Power (Watt)
openjdk-hotspot-vm;               random_heap;         default;                  3;        15.350;  Power (Watt)
openjdk-hotspot-vm;               random_heap;         default;                  4;       111.150;  Power (Watt)
    oracle-graalvm;                    linear;         default;                  1;        15.070;  Power (Watt)
    oracle-graalvm;                    linear;         default;                  2;        14.960;  Power (Watt)
    oracle-graalvm;                    linear;         default;                  3;        17.970;  Power (Watt)
    oracle-graalvm;                    linear;         default;                  4;        78.300;  Power (Watt)
    oracle-graalvm;                    linear;         default;                  5;        90.460;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;                  1;        14.380;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;                  2;        13.880;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;                  3;        13.740;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;                  4;        58.080;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;                  5;        66.080;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;                  6;        65.320;  Power (Watt)
        graalvm-ce;               random_page;         default;                  1;        15.130;  Power (Watt)
        graalvm-ce;               random_page;         default;                  2;        12.700;  Power (Watt)
        graalvm-ce;               random_page;         default;                  3;        13.540;  Power (Watt)
        graalvm-ce;               random_page;         default;                  4;        74.390;  Power (Watt)
