Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2   SEN3 TCPU_P iwlwif acpitz INT340
13:02:41   4.2   0.0   0.0  95.8   0.0    2    528    683    0    0    0  49.17    0.00  14.90  10.23  24.04  66.05  66.00  40.05  39.05  66.00  33.00  68.00  20.00
13:02:42   4.2   0.0   0.0  95.8   0.0    2    618    732    0    0    0  49.22    0.00  14.92  10.25  24.05  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:43   4.2   0.0   0.0  95.8   0.0    2    574    689    0    0    0  49.32    0.00  14.97  10.26  24.09  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:44   4.2   0.0   0.0  95.8   0.0    2    618    714    0    0    0  49.27    0.00  14.95  10.26  24.06  66.05  66.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:45   4.2   0.0   0.0  95.8   0.0    2    518    675    0    0    0  49.26    0.00  14.93  10.25  24.08  66.05  66.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:46   4.2   0.0   0.0  95.8   0.0    2    636    731    0    0    0  49.29    0.00  14.95  10.25  24.09  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:47   4.2   0.0   0.0  95.8   0.0    2    542    701    0    0    0  49.48    0.00  15.04  10.25  24.19  65.05  65.00  40.05  39.05  65.00  33.00  67.00  20.00
13:02:48   4.2   0.0   0.0  95.8   0.0    2    626    589    0    0    0  50.27    0.00  15.14  10.26  24.87  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:49   4.2   0.0   0.0  95.8   0.0    2    516    594    0    0    0  49.19    0.00  14.93  10.25  24.01  66.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:50   4.2   0.0   0.0  95.8   0.0    2    785    857    0    0    0  52.26    0.00  15.36  10.61  26.29  67.05  67.00  40.05  40.05  65.00  33.00  67.00  20.00
13:02:51   4.2   0.0   0.0  95.8   0.0    2    572    688    0    0    0  51.10    0.00  14.97  10.23  25.90  67.05  67.00  40.05  40.05  68.00  33.00  67.00  20.00
13:02:52   4.2   0.0   0.1  95.7   0.0    2    590    714    0    0    0  51.15    0.00  14.99  10.25  25.92  67.05  67.00  40.05  40.05  66.00  33.00  67.00  20.00
13:02:53   4.2   0.0   0.0  95.8   0.0    2    528    692    0    0    0  50.16    0.00  14.97  10.26  24.94  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:54   4.2   0.0   0.0  95.7   0.1    2    657    723    0    0    0  50.60    0.00  15.19  10.29  25.12  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:55   4.2   0.0   0.0  95.8   0.0    2    566    686    0    0    0  49.34    0.00  14.96  10.28  24.09  66.05  66.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:56   4.2   0.0   0.0  95.8   0.0    2    612    716    0    0    0  49.35    0.00  14.98  10.29  24.08  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:57   4.2   0.0   0.0  95.8   0.0    2    498    686    0    0    0  49.31    0.00  14.97  10.28  24.06  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:58   4.2   0.0   0.0  95.8   0.0    2    622    728    0    0    0  49.42    0.00  15.00  10.31  24.11  68.05  68.00  40.05  40.05  68.00  33.00  67.00  20.00
13:02:59   4.2   0.0   0.0  95.8   0.0    2    582    718    0    0    0  49.28    0.00  14.95  10.26  24.07  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:00   4.2   0.0   0.0  95.8   0.0    2    635    747    0    0    0  49.27    0.00  14.92  10.22  24.13  66.05  66.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:01   4.2   0.0   0.0  95.7   0.0    2    560    687    0    0    0  49.31    0.00  14.94  10.26  24.10  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:02   4.2   0.0   0.0  95.8   0.0    2    606    719    0    0    0  49.36    0.00  14.97  10.23  24.16  66.05  66.00  40.05  40.05  66.00  33.00  67.00  20.00
13:03:03   4.2   0.0   0.0  95.8   0.0    2    578    659    0    0    0  49.22    0.00  14.94  10.25  24.03  67.05  66.00  40.05  40.05  66.00  33.00  67.00  20.00
13:03:04   4.2   0.0   0.0  95.8   0.0    2    602    643    0    0    0  49.20    0.00  14.93  10.23  24.04  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
