          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                     const;             pgo;                 45;       100.730;  Power (Watt)
      native-image;                     const;             pgo;                 46;       100.360;  Power (Watt)
      native-image;                     const;             pgo;                 47;        94.930;  Power (Watt)
      native-image;                     const;             pgo;                 48;       111.090;  Power (Watt)
      native-image;                     const;             pgo;                 49;       105.780;  Power (Watt)
      native-image;                     const;             pgo;                 50;       104.340;  Power (Watt)
      native-image;                     const;             pgo;                 51;        98.400;  Power (Watt)
      native-image;                     const;             pgo;                 52;       106.920;  Power (Watt)
      native-image;                     const;             pgo;                 53;       102.110;  Power (Watt)
      native-image;                     const;             pgo;                 54;        97.920;  Power (Watt)
      native-image;                     const;             pgo;                 55;       103.120;  Power (Watt)
      native-image;                     const;             pgo;                 56;       100.840;  Power (Watt)
      native-image;                     const;             pgo;                 57;       101.740;  Power (Watt)
      native-image;                     const;             pgo;                 58;       101.580;  Power (Watt)
      native-image;                     const;             pgo;                 59;        98.760;  Power (Watt)
      native-image;                     const;             pgo;                 60;       103.030;  Power (Watt)
      native-image;                     const;             pgo;                 61;       100.550;  Power (Watt)
      native-image;                     const;             pgo;                 62;       102.270;  Power (Watt)
      native-image;                     const;             pgo;                 63;       102.060;  Power (Watt)
      native-image;                     const;             pgo;                 64;       102.840;  Power (Watt)
      native-image;                     const;             pgo;                 65;       103.290;  Power (Watt)
      native-image;                     const;             pgo;                 66;       104.930;  Power (Watt)
      native-image;                     const;             pgo;                 67;       104.820;  Power (Watt)
      native-image;                     const;             pgo;                 68;        96.860;  Power (Watt)
      native-image;                     const;             pgo;                 69;       100.800;  Power (Watt)
      native-image;                     const;             pgo;                 70;       102.910;  Power (Watt)
      native-image;                     const;             pgo;                 71;        99.090;  Power (Watt)
      native-image;                     const;             pgo;                 72;       101.120;  Power (Watt)
      native-image;                     const;             pgo;                 73;        93.870;  Power (Watt)
      native-image;                     const;             pgo;                 74;       104.140;  Power (Watt)
      native-image;                     const;             pgo;                 75;       101.380;  Power (Watt)
      native-image;                     const;             pgo;                 76;        61.350;  Power (Watt)
      native-image;                     const;             pgo;                 77;        60.520;  Power (Watt)
      native-image;                     const;             pgo;                 78;        96.660;  Power (Watt)
      native-image;                     const;             pgo;                 79;        51.250;  Power (Watt)
      native-image;                     const;             pgo;                 80;        67.300;  Power (Watt)
     azul-prime-vm;                       new;         default;                  1;         4.580;  Power (Watt)
     azul-prime-vm;                       new;         default;                  2;         2.150;  Power (Watt)
     azul-prime-vm;                       new;         default;                  3;         3.610;  Power (Watt)
     azul-prime-vm;                       new;         default;                  4;        97.970;  Power (Watt)
     azul-prime-vm;                       new;         default;                  5;       103.400;  Power (Watt)
     azul-prime-vm;                       new;         default;                  6;       102.810;  Power (Watt)
     azul-prime-vm;                       new;         default;                  7;        97.090;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  1;         4.380;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  2;         1.960;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  3;         2.640;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  4;        96.980;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  5;       103.690;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  6;        99.960;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  7;       103.830;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  8;       102.790;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  9;        78.520;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  1;         6.840;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  2;         2.130;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  3;         3.710;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  4;        83.550;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  5;        82.070;  Power (Watt)
      native-image;             override_fist;         default;                  1;         4.970;  Power (Watt)
      native-image;             override_fist;         default;                  2;         1.580;  Power (Watt)
      native-image;             override_fist;         default;                  3;         4.790;  Power (Watt)
      native-image;             override_fist;         default;                  4;       106.980;  Power (Watt)
      native-image;             override_fist;         default;                  5;       101.970;  Power (Watt)
      native-image;             override_fist;         default;                  6;        76.680;  Power (Watt)
      native-image;             override_fist;         default;                  7;        89.670;  Power (Watt)
      native-image;             override_fist;         default;                  8;        85.060;  Power (Watt)
      native-image;             override_fist;         default;                  9;       112.750;  Power (Watt)
      native-image;             override_fist;         default;                 10;       100.210;  Power (Watt)
      native-image;             override_fist;         default;                 11;       104.490;  Power (Watt)
      native-image;             override_fist;         default;                 12;       102.740;  Power (Watt)
      native-image;             override_fist;         default;                 13;        99.460;  Power (Watt)
      native-image;             override_fist;         default;                 14;       103.430;  Power (Watt)
      native-image;             override_fist;         default;                 15;       104.160;  Power (Watt)
      native-image;             override_fist;         default;                 16;       101.860;  Power (Watt)
      native-image;             override_fist;         default;                 17;        99.380;  Power (Watt)
      native-image;             override_fist;         default;                 18;       104.520;  Power (Watt)
      native-image;             override_fist;         default;                 19;       100.660;  Power (Watt)
      native-image;             override_fist;         default;                 20;       101.380;  Power (Watt)
      native-image;             override_fist;         default;                 21;       100.720;  Power (Watt)
      native-image;             override_fist;         default;                 22;       101.230;  Power (Watt)
      native-image;             override_fist;         default;                 23;       100.750;  Power (Watt)
      native-image;             override_fist;         default;                 24;       101.160;  Power (Watt)
      native-image;             override_fist;         default;                 25;       100.880;  Power (Watt)
