          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                  platform;             pgo;                 81;        61.650;  Power (Watt)
 eclipse-openj9-vm;                   virtual;         default;                  1;         6.340;  Power (Watt)
 eclipse-openj9-vm;                   virtual;         default;                  2;         2.690;  Power (Watt)
 eclipse-openj9-vm;                   virtual;         default;                  3;         6.410;  Power (Watt)
 eclipse-openj9-vm;                   virtual;         default;                  4;        47.820;  Power (Watt)
 eclipse-openj9-vm;                   virtual;         default;                  5;        54.100;  Power (Watt)
 eclipse-openj9-vm;                   virtual;         default;                  6;        62.400;  Power (Watt)
      native-image;                   virtual;         default;                  1;         4.460;  Power (Watt)
      native-image;                   virtual;         default;                  2;         2.060;  Power (Watt)
      native-image;                   virtual;         default;                  3;         3.180;  Power (Watt)
      native-image;                   virtual;         default;                  4;       103.980;  Power (Watt)
      native-image;                   virtual;         default;                  5;       104.850;  Power (Watt)
      native-image;                   virtual;         default;                  6;        77.300;  Power (Watt)
      native-image;                   virtual;         default;                  7;        94.210;  Power (Watt)
      native-image;                   virtual;         default;                  8;        96.180;  Power (Watt)
      native-image;                   virtual;         default;                  9;       111.550;  Power (Watt)
      native-image;                   virtual;         default;                 10;       101.900;  Power (Watt)
      native-image;                   virtual;         default;                 11;       103.280;  Power (Watt)
      native-image;                   virtual;         default;                 12;       100.520;  Power (Watt)
      native-image;                   virtual;         default;                 13;        98.800;  Power (Watt)
      native-image;                   virtual;         default;                 14;       103.830;  Power (Watt)
      native-image;                   virtual;         default;                 15;       100.130;  Power (Watt)
      native-image;                   virtual;         default;                 16;       109.320;  Power (Watt)
      native-image;                   virtual;         default;                 17;       102.230;  Power (Watt)
      native-image;                   virtual;         default;                 18;       100.970;  Power (Watt)
      native-image;                   virtual;         default;                 19;       103.760;  Power (Watt)
      native-image;                   virtual;         default;                 20;       103.210;  Power (Watt)
      native-image;                   virtual;         default;                 21;       101.120;  Power (Watt)
      native-image;                   virtual;         default;                 22;       100.190;  Power (Watt)
      native-image;                   virtual;         default;                 23;       100.580;  Power (Watt)
      native-image;                   virtual;         default;                 24;       100.820;  Power (Watt)
      native-image;                   virtual;         default;                 25;       100.640;  Power (Watt)
      native-image;                   virtual;         default;                 26;       101.040;  Power (Watt)
      native-image;                   virtual;         default;                 27;       101.900;  Power (Watt)
      native-image;                   virtual;         default;                 28;       105.120;  Power (Watt)
      native-image;                   virtual;         default;                 29;       104.270;  Power (Watt)
      native-image;                   virtual;         default;                 30;       102.620;  Power (Watt)
      native-image;                   virtual;         default;                 31;        97.090;  Power (Watt)
      native-image;                   virtual;         default;                 32;       100.900;  Power (Watt)
      native-image;                   virtual;         default;                 33;        95.020;  Power (Watt)
      native-image;                   virtual;         default;                 34;        93.320;  Power (Watt)
      native-image;                   virtual;         default;                 35;       105.020;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  1;         5.120;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  2;         2.080;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  3;         2.750;  Power (Watt)
