          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;      guarded_parametrized;        pgo_g1gc;                 15;       102.070;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 16;        80.230;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 17;       102.110;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 18;       101.030;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 19;       100.120;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 20;        85.610;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 21;        80.980;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 22;       106.740;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 23;       103.760;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 24;       101.840;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 25;       101.920;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 26;       101.980;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 27;       101.860;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 28;       100.410;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 29;       101.880;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 30;        95.350;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 31;        83.850;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 32;        69.550;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 33;        57.420;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  1;        14.630;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  2;        14.990;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  3;        14.000;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  4;       112.560;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  5;       105.440;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  6;       105.570;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  7;       107.360;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  8;       105.770;  Power (Watt)
     azul-prime-vm;    guarded_unparametrized;         default;                  9;        84.110;  Power (Watt)
        graalvm-ce;  unguarded_unparametrized;         default;                  1;        14.700;  Power (Watt)
        graalvm-ce;  unguarded_unparametrized;         default;                  2;        13.230;  Power (Watt)
        graalvm-ce;  unguarded_unparametrized;         default;                  3;        15.570;  Power (Watt)
        graalvm-ce;  unguarded_unparametrized;         default;                  4;        64.830;  Power (Watt)
        graalvm-ce;  unguarded_unparametrized;         default;                  5;        71.990;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  1;        14.930;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  2;        12.930;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  3;        13.620;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  4;       111.270;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  5;       111.210;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  6;       106.340;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  7;       102.320;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  8;       105.350;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                  9;       106.290;  Power (Watt)
     azul-prime-vm;  unguarded_unparametrized;         default;                 10;        88.860;  Power (Watt)
    oracle-graalvm;    guarded_unparametrized;         default;                  1;        14.550;  Power (Watt)
    oracle-graalvm;    guarded_unparametrized;         default;                  2;        13.460;  Power (Watt)
    oracle-graalvm;    guarded_unparametrized;         default;                  3;        13.940;  Power (Watt)
    oracle-graalvm;    guarded_unparametrized;         default;                  4;        71.100;  Power (Watt)
    oracle-graalvm;    guarded_unparametrized;         default;                  5;        77.140;  Power (Watt)
    oracle-graalvm;      guarded_parametrized;         default;                  1;        15.150;  Power (Watt)
    oracle-graalvm;      guarded_parametrized;         default;                  2;        13.440;  Power (Watt)
    oracle-graalvm;      guarded_parametrized;         default;                  3;        16.410;  Power (Watt)
    oracle-graalvm;      guarded_parametrized;         default;                  4;        82.640;  Power (Watt)
        graalvm-ce;    guarded_unparametrized;         default;                  1;        14.880;  Power (Watt)
        graalvm-ce;    guarded_unparametrized;         default;                  2;        15.550;  Power (Watt)
        graalvm-ce;    guarded_unparametrized;         default;                  3;        15.720;  Power (Watt)
        graalvm-ce;    guarded_unparametrized;         default;                  4;        67.640;  Power (Watt)
        graalvm-ce;    guarded_unparametrized;         default;                  5;        77.070;  Power (Watt)
openjdk-hotspot-vm;                    lambda;         default;                  1;        19.190;  Power (Watt)
openjdk-hotspot-vm;                    lambda;         default;                  2;        17.540;  Power (Watt)
openjdk-hotspot-vm;                    lambda;         default;                  3;        18.380;  Power (Watt)
openjdk-hotspot-vm;                    lambda;         default;                  4;        98.260;  Power (Watt)
openjdk-hotspot-vm;                    lambda;         default;                  5;       114.450;  Power (Watt)
 eclipse-openj9-vm;      guarded_parametrized;         default;                  1;        14.610;  Power (Watt)
 eclipse-openj9-vm;      guarded_parametrized;         default;                  2;        15.690;  Power (Watt)
 eclipse-openj9-vm;      guarded_parametrized;         default;                  3;        14.490;  Power (Watt)
 eclipse-openj9-vm;      guarded_parametrized;         default;                  4;        59.000;  Power (Watt)
 eclipse-openj9-vm;      guarded_parametrized;         default;                  5;        66.320;  Power (Watt)
 eclipse-openj9-vm;      guarded_parametrized;         default;                  6;        71.050;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  1;         6.250;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  2;         4.570;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  3;         8.200;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  4;        62.490;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  5;        78.670;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  6;        88.510;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  7;        64.880;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  8;        94.270;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                  9;        79.130;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 10;       118.320;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 11;       102.520;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 12;       104.020;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 13;       102.850;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 14;       100.950;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 15;        99.250;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 16;        83.260;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 17;        98.740;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 18;       103.910;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 19;        97.980;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 20;       102.880;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 21;       105.650;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 22;       106.290;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 23;       107.530;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 24;       102.190;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 25;       102.090;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 26;       101.750;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 27;       101.710;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 28;       101.760;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 29;       101.900;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 30;        97.900;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 31;       100.840;  Power (Watt)
      native-image;    unguarded_parametrized;        pgo_g1gc;                 32;        78.410;  Power (Watt)
openjdk-hotspot-vm;      guarded_parametrized;         default;                  1;        16.890;  Power (Watt)
openjdk-hotspot-vm;      guarded_parametrized;         default;                  2;        17.020;  Power (Watt)
openjdk-hotspot-vm;      guarded_parametrized;         default;                  3;        17.520;  Power (Watt)
openjdk-hotspot-vm;      guarded_parametrized;         default;                  4;       111.020;  Power (Watt)
 eclipse-openj9-vm;    unguarded_parametrized;         default;                  1;        14.800;  Power (Watt)
 eclipse-openj9-vm;    unguarded_parametrized;         default;                  2;        15.680;  Power (Watt)
 eclipse-openj9-vm;    unguarded_parametrized;         default;                  3;        14.250;  Power (Watt)
 eclipse-openj9-vm;    unguarded_parametrized;         default;                  4;        58.430;  Power (Watt)
 eclipse-openj9-vm;    unguarded_parametrized;         default;                  5;        67.200;  Power (Watt)
 eclipse-openj9-vm;    unguarded_parametrized;         default;                  6;        67.890;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  1;        21.120;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  2;        17.740;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  3;        19.440;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  4;        72.920;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  5;        81.730;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  6;        82.760;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  7;        99.530;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  8;       103.540;  Power (Watt)
      native-image;      guarded_parametrized;         default;                  9;       103.800;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 10;       111.290;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 11;       111.370;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 12;       105.240;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 13;       107.270;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 14;       100.990;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 15;       110.420;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 16;       111.990;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 17;       106.530;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 18;       106.510;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 19;       104.490;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 20;       106.330;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 21;       107.120;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 22;       105.740;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 23;       105.300;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 24;       105.910;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 25;       105.200;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 26;       105.560;  Power (Watt)
      native-image;      guarded_parametrized;         default;                 27;       105.320;  Power (Watt)
