Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
17:19:14  11.3   0.0   3.8  84.8   0.0    2 177208  18150    3    3    3  43.69    0.00   9.94   2.92  30.82  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:15  13.0   0.0   3.5  83.5   0.0    4 154001  17914    3    3    3  43.88    0.00  10.02   3.07  30.79  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
17:19:16  12.9   0.0   3.9  83.2   0.0    4 163800  17997    6    3    3  45.16    0.00  10.36   3.40  31.40  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:17  13.9   0.0   2.9  83.2   0.0    5 154347  18278    3    3    3  45.02    0.00  10.32   3.41  31.29  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:18  14.5   0.0   3.7  81.7   0.0    5 183443  18316    3    3    3  46.02    0.00  10.60   3.50  31.92  52.05  20.00  36.05  52.00  52.00  51.00  37.05   0.00
17:19:19  14.1   0.0   3.9  82.0   0.0    2 179805  18152    3    3    3  45.52    0.00  10.46   3.43  31.63  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
17:19:20  14.4   0.0   3.6  82.1   0.0    3 184577  17763    3    3    3  45.58    0.00  10.66   3.69  31.22  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:21  10.2   0.0   3.7  86.1   0.0    5 170784  17472    3    2    3  43.04    0.00   9.71   2.78  30.55  52.05  20.00  36.05  52.00  52.00  51.00  37.05   0.00
17:19:22  13.3   0.0   3.4  83.3   0.0    3 157132  18092    1    1    1  44.05    0.00  10.09   3.17  30.78  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:23  13.6   0.0   3.2  83.2   0.0    3 172870  18073    3    3    3  44.80    0.00  10.42   3.43  30.95  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
